Codigo,Título,Quantidades,Autor,Ano,Editora,Edição,ISBN,Categoria
BIOG01,Zoologia dos invertebrados,1,Robert D. Barnes,1996,Livraria Atheneu,4° Ed. ,-,Biologia Geral
BIOG02,Zoologia geral,1,"Tracy I. Strorer, Robert L. Usinger, Robert C. Stebbins, James W. Nybakken",1989,Companhia editora nacional,8° Ed. ,-,Biologia Geral
BIOG03,Introdução ao estudo dos insetos,1,"Donald J. Borror, Dwight M. DeLong",1988,Edgard Blucher ,1° Ed. ,-,Biologia Geral
BIOG04,Entre o gambá e o macaco,1,Eurico Santos,1984,Itatiaia,6° Ed. ,-,Biologia Geral
BIOG05,Miscelânea Zoológica ,,Eurico Santos,1987,Itatiaia,11º Ed.,-,Biologia Geral
BIOG06,Glossário de Oceanografia,Biologia Geral,Argeo Magliocca,1987,Editora da Universidade de São Paulo,1º Ed.,-,Biologia Geral
BIOG07,Guia de Farmacognosia Aplicada,Biologia Geral,"Marcia do Rocio Duarte, Yoshiko Yassumoto, Carlos Cecy",1991,Editora Universitária Champagnat,-,-,Biologia Geral
BIOG08,Zoologia,1,"Marcos Durval, Guimarães Ferri",1974,Itatiaia,1° Ed. ,-,Biologia Geral
BIOG09,Fisiologia Humana,1,Arthur C. Guyton,1984,Guanabara,6° Ed. ,-,Biologia Geral
BIOG10,Biologia celular e molecular,1,L.C.U. Junqueira,1987,Guanabara,1° Ed. ,-,Biologia Geral
BIOG11,História geológica da vida,1,A. LEE McALESTER,1988,Edgard,1° Ed. ,-,Biologia Geral
BIOG12,Introdução à citogenética geral,1,Marcelo dos Santos Guerra,1988,Guanabara,1° Ed. ,-,Biologia Geral
BIOG13,Paleontologia básica,1,Josue Camargo Mendes,1988,Editora da Universidade de São Paulo,13° Ed. ,-,Biologia Geral
BIOG14,Introdução a geomorfologia,1,"Lucivânio Jatobá, Rachel Lins Caldas",2003,Bagaço,4° Ed. ,-,Biologia Geral
BIOG15,Chemical principles,1,Steven S. Zumdahl,1995,Heath,2° Ed. ,-,Biologia Geral
BIOG16,Nature's Chemicals: the natural products that Shaped Our World,1,Richard Firn,2010,Oxford University Press,1° Ed. ,-,Biologia Geral
BIOG17,Microbiologia,1,Luiz Rachid Trabulsi,1989,Livraria Atheneu,1° Ed. ,-,Biologia Geral
BIOG18,Microbiologia básica,1,"Juarez Braga Soares, Antonio Renato S. de Casimiro, Laurênia Maria B. de Albuquerque",1991,Editora UFC,1° Ed. ,-,Biologia Geral
BIOG19,Comportamento animal,1,"Vincent Gaston Dethier, Eliot Stellar",1988,Edgard Blucher ,1° Ed. ,-,Biologia Geral
BIOG20(1/1),O comportamento animal,,Carty/Howse,1923,Editora Pedagogica e Universitária,14ºEd.,,Biologia Geral
BIOG20(2/2),O comportamento social dos animais,,Deag,1980,Editora Pedagogica e Universitária,26º Ed.,,Biologia Geral
BIOG21,Guia para Trabalhos de Campo em Paleontologia na Bacia do Araripe,Biologia Geral,Alamo Feitosa Soares,2010,-,1° Ed.,,Biologia Geral
BIOG22,"Vida: a ciência da biologia. Volume 2: evolução, diversidade e ecologia",1,"David Sadava, Craig Heller, Gordon Orians, Bill Purves, David Hillis",2009,Artmed,8° Ed. ,-,Biologia Geral
BIOG22,"Vida: a ciência da biologia. Volume 3: evolução, diversidade e ecologia",1,"David Sadava, Craig Heller, Gordon Orians, Bill Purves, David Hillis",2009,Artmed,8° Ed. ,-,Biologia Geral
BIOG23,Miranda Azevedo e o Darwinismo no Brasil,1,Terezinha Alves Ferreira Collichio,1988,Itatiaia,1° Ed. ,-,Biologia Geral
BIOG24,História da Biologia,Biologia Geral,Jean Theodorides,1965,Press Universitaries de France,1° Ed.,,Biologia Geral
BIOG25,"Os Primitivos, Nossos Contemporaneos",Biologia Geral,Frédéric Rognon,1991,Papirus editora,-,,Biologia Geral
BIOG26,"Recursos geneticos, nosso tesouro esquecido: Abordagem técnica e sócio-econômi",Biologia Geral,Daniel Querol,1993,Satis,1° Ed.,,Biologia Geral
BIOG27,Vida: A ciência da Biologia I: Célula e Hereditariedade,,"David Sadava, Craig Heller, Gordon Orians, Bill Purves, David Hillis",2009,Artmed,8° Ed. ,-,Biologia Geral
